CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
0.03,0,-0.03,-0.048778578,-0.04230463,0.6769,0.01079,-0.0374,-0.129648891,-0.136622954,0.7195,-0.07837,-0.0249,0.080010342,-0.124256976,0.8572,0.16613,0.0412
0.07,0.03,0,-0.004287711,0.023140665,0.7002,0.03983,0.0442,-0.048778578,-0.04230463,0.6769,0.01079,-0.0374,-0.129648891,-0.136622954,0.7195,-0.07837,-0.0249
0.07,0.07,0.03,-0.1126314,0.096576792,0.7975,-0.06132,-0.0588,-0.004287711,0.023140665,0.7002,0.03983,0.0442,-0.048778578,-0.04230463,0.6769,0.01079,-0.0374
0.06,0.07,0.07,0.087031533,0.068827223,0.8669,0.16202,-0.038,-0.1126314,0.096576792,0.7975,-0.06132,-0.0588,-0.004287711,0.023140665,0.7002,0.03983,0.0442
0.04,0.06,0.07,0.078814487,-0.021515814,0.8452,-0.00118,0.0254,0.087031533,0.068827223,0.8669,0.16202,-0.038,-0.1126314,0.096576792,0.7975,-0.06132,-0.0588
0.01,0.04,0.06,0.021401188,-0.131972351,0.7122,-0.08029,-0.0238,0.078814487,-0.021515814,0.8452,-0.00118,0.0254,0.087031533,0.068827223,0.8669,0.16202,-0.038
-0.01,0.01,0.04,0.043552943,-0.11534548,0.5961,0.02244,-0.0196,0.021401188,-0.131972351,0.7122,-0.08029,-0.0238,0.078814487,-0.021515814,0.8452,-0.00118,0.0254
-0.03,-0.01,0.01,0.023431794,-0.077866327,0.5178,-0.09695,-0.0232,0.043552943,-0.11534548,0.5961,0.02244,-0.0196,0.021401188,-0.131972351,0.7122,-0.08029,-0.0238
-0.01,-0.03,-0.01,0.056449197,-0.024078236,0.4936,-0.17103,-0.0484,0.023431794,-0.077866327,0.5178,-0.09695,-0.0232,0.043552943,-0.11534548,0.5961,0.02244,-0.0196
0,-0.01,-0.03,-0.08041708,0.00218917,0.4958,-0.10267,0.0464,0.056449197,-0.024078236,0.4936,-0.17103,-0.0484,0.023431794,-0.077866327,0.5178,-0.09695,-0.0232
0.02,0,-0.01,-0.029590781,0.037805378,0.5338,-0.20164,-0.0085,-0.08041708,0.00218917,0.4958,-0.10267,0.0464,0.056449197,-0.024078236,0.4936,-0.17103,-0.0484
0.02,0.02,0,0.003219036,0.08163075,0.6159,-0.10566,-0.008,-0.029590781,0.037805378,0.5338,-0.20164,-0.0085,-0.08041708,0.00218917,0.4958,-0.10267,0.0464
0.02,0.02,0.02,0.066893335,0.027824732,0.6439,-0.05536,-0.0209,0.003219036,0.08163075,0.6159,-0.10566,-0.008,-0.029590781,0.037805378,0.5338,-0.20164,-0.0085
-0.02,0.02,0.02,0.084750794,-0.00685609,0.637,0.03199,-0.0255,0.066893335,0.027824732,0.6439,-0.05536,-0.0209,0.003219036,0.08163075,0.6159,-0.10566,-0.008
-0.01,-0.02,0.02,-0.147491543,0.02344787,0.6606,-0.18174,0.0341,0.084750794,-0.00685609,0.637,0.03199,-0.0255,0.066893335,0.027824732,0.6439,-0.05536,-0.0209
-0.01,-0.01,-0.02,0.139001428,0.03814072,0.699,-0.1131,0.0184,-0.147491543,0.02344787,0.6606,-0.18174,0.0341,0.084750794,-0.00685609,0.637,0.03199,-0.0255
0.03,-0.01,-0.01,-0.016659373,0.041997555,0.7413,0.0148,0.0288,0.139001428,0.03814072,0.699,-0.1131,0.0184,-0.147491543,0.02344787,0.6606,-0.18174,0.0341
0.04,0.03,-0.01,-0.002756812,0.020049349,0.7615,0.02718,0.0161,-0.016659373,0.041997555,0.7413,0.0148,0.0288,0.139001428,0.03814072,0.699,-0.1131,0.0184
0.05,0.04,0.03,-0.170758508,0.005259807,0.7668,0.15588,0.0174,-0.002756812,0.020049349,0.7615,0.02718,0.0161,-0.016659373,0.041997555,0.7413,0.0148,0.0288
0.05,0.05,0.04,0.083312049,-0.014589202,0.7521,0.36626,0.0302,-0.170758508,0.005259807,0.7668,0.15588,0.0174,-0.002756812,0.020049349,0.7615,0.02718,0.0161
