CLI,CLI_t-1,CLI_t-2,y1,y1_t-1,y1_t-2,y2,y2_t-1,y2_t-2,y3,y3_t-1,y3_t-2,y4,y4_t-1,y4_t-2,y5,y5_t-1,y5_t-2
-0.09,-0.05,0,0.320620257,0.308606567,0.176482755,-0.01775,-0.3378,-0.64489,0.06064,-0.22479,-0.20602,0.027,-0.0116,0.0434,0.035492112,0.064948883,-0.004339273
-0.15,-0.09,-0.05,0.218549841,0.320620257,0.308606567,0.201,-0.01775,-0.3378,-0.18017,0.06064,-0.22479,0.0277,0.027,-0.0116,-0.010168112,0.035492112,0.064948883
-0.18,-0.15,-0.09,0.146996228,0.218549841,0.320620257,0.3484,0.201,-0.01775,-0.0357,-0.18017,0.06064,-0.0218,0.0277,0.027,-0.056024843,-0.010168112,0.035492112
-0.17,-0.18,-0.15,0.153944688,0.146996228,0.218549841,0.503,0.3484,0.201,0.06223,-0.0357,-0.18017,-0.0208,-0.0218,0.0277,-0.023449114,-0.056024843,-0.010168112
-0.12,-0.17,-0.18,0.155893666,0.153944688,0.146996228,0.6598,0.503,0.3484,-0.06254,0.06223,-0.0357,0.0575,-0.0208,-0.0218,-0.013320861,-0.023449114,-0.056024843
-0.07,-0.12,-0.17,0.128072389,0.155893666,0.153944688,0.7888,0.6598,0.503,-0.03941,-0.06254,0.06223,0.0214,0.0575,-0.0208,-0.035248014,-0.013320861,-0.023449114
-0.05,-0.07,-0.12,0.091436602,0.128072389,0.155893666,0.881,0.7888,0.6598,0.07851,-0.03941,-0.06254,-0.0377,0.0214,0.0575,0.018865582,-0.035248014,-0.013320861
-0.03,-0.05,-0.07,0.098978567,0.091436602,0.128072389,0.9809,0.881,0.7888,0.31108,0.07851,-0.03941,0.0953,-0.0377,0.0214,0.046739782,0.018865582,-0.035248014
-0.07,-0.03,-0.05,0.071572079,0.098978567,0.091436602,1.0532,0.9809,0.881,0.19066,0.31108,0.07851,-0.0304,0.0953,-0.0377,-0.025217721,0.046739782,0.018865582
-0.09,-0.07,-0.03,0.02434065,0.071572079,0.098978567,1.0778,1.0532,0.9809,0.20659,0.19066,0.31108,0.0067,-0.0304,0.0953,-0.016645651,-0.025217721,0.046739782
-0.11,-0.09,-0.07,-0.018700216,0.02434065,0.071572079,1.0589,1.0778,1.0532,0.15066,0.20659,0.19066,0.0201,0.0067,-0.0304,0.013157473,-0.016645651,-0.025217721
-0.11,-0.11,-0.09,-0.028205353,-0.018700216,0.02434065,1.0304,1.0589,1.0778,0.30149,0.15066,0.20659,0.0217,0.0201,0.0067,-0.019513338,0.013157473,-0.016645651
-0.07,-0.11,-0.11,-0.047323688,-0.028205353,-0.018700216,0.9826,1.0304,1.0589,0.21093,0.30149,0.15066,-0.0233,0.0217,0.0201,0.000553448,-0.019513338,0.013157473
-0.03,-0.07,-0.11,-0.124256976,-0.047323688,-0.028205353,0.8572,0.9826,1.0304,0.16613,0.21093,0.30149,0.0412,-0.0233,0.0217,0.007720467,0.000553448,-0.019513338
0,-0.03,-0.07,-0.136622954,-0.124256976,-0.047323688,0.7195,0.8572,0.9826,-0.07837,0.16613,0.21093,-0.0249,0.0412,-0.0233,0.008704885,0.007720467,0.000553448
0.03,0,-0.03,-0.04230463,-0.136622954,-0.124256976,0.6769,0.7195,0.8572,0.01079,-0.07837,0.16613,-0.0374,-0.0249,0.0412,0.039028357,0.008704885,0.007720467
0.07,0.03,0,0.023140665,-0.04230463,-0.136622954,0.7002,0.6769,0.7195,0.03983,0.01079,-0.07837,0.0442,-0.0374,-0.0249,0.028119397,0.039028357,0.008704885
0.07,0.07,0.03,0.096576792,0.023140665,-0.04230463,0.7975,0.7002,0.6769,-0.06132,0.03983,0.01079,-0.0588,0.0442,-0.0374,0.01923036,0.028119397,0.039028357
0.06,0.07,0.07,0.068827223,0.096576792,0.023140665,0.8669,0.7975,0.7002,0.16202,-0.06132,0.03983,-0.038,-0.0588,0.0442,0.022361351,0.01923036,0.028119397
0.04,0.06,0.07,-0.021515814,0.068827223,0.096576792,0.8452,0.8669,0.7975,-0.00118,0.16202,-0.06132,0.0254,-0.038,-0.0588,0.017644772,0.022361351,0.01923036
0.01,0.04,0.06,-0.131972351,-0.021515814,0.068827223,0.7122,0.8452,0.8669,-0.08029,-0.00118,0.16202,-0.0238,0.0254,-0.038,0.01356971,0.017644772,0.022361351
-0.01,0.01,0.04,-0.11534548,-0.131972351,-0.021515814,0.5961,0.7122,0.8452,0.02244,-0.08029,-0.00118,-0.0196,-0.0238,0.0254,-0.00069936,0.01356971,0.017644772
-0.03,-0.01,0.01,-0.077866327,-0.11534548,-0.131972351,0.5178,0.5961,0.7122,-0.09695,0.02244,-0.08029,-0.0232,-0.0196,-0.0238,0.013736129,-0.00069936,0.01356971
-0.01,-0.03,-0.01,-0.024078236,-0.077866327,-0.11534548,0.4936,0.5178,0.5961,-0.17103,-0.09695,0.02244,-0.0484,-0.0232,-0.0196,0.019240369,0.013736129,-0.00069936
0,-0.01,-0.03,0.00218917,-0.024078236,-0.077866327,0.4958,0.4936,0.5178,-0.10267,-0.17103,-0.09695,0.0464,-0.0484,-0.0232,0.018493499,0.019240369,0.013736129
0.02,0,-0.01,0.037805378,0.00218917,-0.024078236,0.5338,0.4958,0.4936,-0.20164,-0.10267,-0.17103,-0.0085,0.0464,-0.0484,0.005755004,0.018493499,0.019240369
0.02,0.02,0,0.08163075,0.037805378,0.00218917,0.6159,0.5338,0.4958,-0.10566,-0.20164,-0.10267,-0.008,-0.0085,0.0464,-0.010854721,0.005755004,0.018493499
0.02,0.02,0.02,0.027824732,0.08163075,0.037805378,0.6439,0.6159,0.5338,-0.05536,-0.10566,-0.20164,-0.0209,-0.008,-0.0085,0.025642901,-0.010854721,0.005755004
-0.02,0.02,0.02,-0.00685609,0.027824732,0.08163075,0.637,0.6439,0.6159,0.03199,-0.05536,-0.10566,-0.0255,-0.0209,-0.008,-0.008940487,0.025642901,-0.010854721
-0.01,-0.02,0.02,0.02344787,-0.00685609,0.027824732,0.6606,0.637,0.6439,-0.18174,0.03199,-0.05536,0.0341,-0.0255,-0.0209,-0.006489318,-0.008940487,0.025642901
-0.01,-0.01,-0.02,0.03814072,0.02344787,-0.00685609,0.699,0.6606,0.637,-0.1131,-0.18174,0.03199,0.0184,0.0341,-0.0255,-0.00718023,-0.006489318,-0.008940487
0.03,-0.01,-0.01,0.041997555,0.03814072,0.02344787,0.7413,0.699,0.6606,0.0148,-0.1131,-0.18174,0.0288,0.0184,0.0341,0.036292431,-0.00718023,-0.006489318
0.04,0.03,-0.01,0.020049349,0.041997555,0.03814072,0.7615,0.7413,0.699,0.02718,0.0148,-0.1131,0.0161,0.0288,0.0184,0.022214478,0.036292431,-0.00718023
0.05,0.04,0.03,0.005259807,0.020049349,0.041997555,0.7668,0.7615,0.7413,0.15588,0.02718,0.0148,0.0174,0.0161,0.0288,0.023908771,0.022214478,0.036292431
